Sprint,Module,Developer,QA,Priority,Status,Root_Cause_Analysis,Defect_Age_Days,Reopened,Fix_Time_Days
Sprint 10,Billing,Eve,QA4,Low,Resolved,Requirement Gap,16,False,7
Sprint 10,Billing,Eve,QA4,High,Closed,Requirement Gap,15,True,5
Sprint 10,Billing,Eve,QA4,Medium,In Progress,Code Issue,24,False,8
Sprint 10,Billing,Eve,QA4,High,Open,Environment Issue,7,False,6
Sprint 10,Payments,Frank,QA4,Low,Resolved,Test Coverage Miss,6,False,5
Sprint 10,Payments,Frank,QA4,High,In Progress,Code Issue,17,False,4
Sprint 10,Payments,Frank,QA4,Critical,Closed,Environment Issue,1,False,6
Sprint 10,Payments,Frank,QA4,Low,Closed,Code Issue,13,False,6
Sprint 10,Payments,Frank,QA4,Low,Resolved,Test Coverage Miss,3,True,10
Sprint 10,Notifications,Frank,QA5,Low,Resolved,Requirement Gap,22,True,7
Sprint 10,Notifications,Frank,QA5,Medium,Resolved,Environment Issue,28,False,3
Sprint 10,Notifications,Frank,QA5,Critical,Resolved,Code Issue,29,True,6
Sprint 10,Notifications,Frank,QA5,Critical,In Progress,Environment Issue,21,True,6
Sprint 10,Notifications,Frank,QA5,Medium,Resolved,Code Issue,29,False,3
Sprint 10,Reports,Frank,QA5,High,Open,Code Issue,8,True,2
Sprint 10,Reports,Frank,QA5,Medium,In Progress,Code Issue,30,False,8
Sprint 10,Reports,Frank,QA5,Medium,Resolved,Requirement Gap,9,True,1
Sprint 10,Reports,Frank,QA5,Medium,Resolved,Test Coverage Miss,27,False,9
Sprint 10,Reports,Frank,QA5,Medium,In Progress,Requirement Gap,20,False,10
Sprint 10,Reports,Frank,QA5,High,Open,Test Coverage Miss,18,True,7
Sprint 10,Dashboard,Frank,QA2,High,In Progress,Test Coverage Miss,8,False,1
Sprint 10,Dashboard,Frank,QA2,Critical,Open,Environment Issue,29,False,8
Sprint 10,Dashboard,Frank,QA2,High,Resolved,Environment Issue,14,True,10
Sprint 10,Dashboard,Frank,QA2,Low,Resolved,Code Issue,3,False,4
Sprint 10,Dashboard,Frank,QA2,Critical,Closed,Requirement Gap,15,True,6
Sprint 10,Dashboard,Frank,QA2,Low,In Progress,Code Issue,26,False,6
Sprint 10,Dashboard,Frank,QA2,High,Resolved,Requirement Gap,14,True,9
Sprint 11,Authentication,Frank,QA2,Medium,In Progress,Requirement Gap,2,True,2
Sprint 11,Authentication,Frank,QA2,Low,Resolved,Test Coverage Miss,16,False,3
Sprint 11,Authentication,Frank,QA2,Low,Closed,Environment Issue,12,False,6
Sprint 11,Authentication,Frank,QA2,High,Closed,Code Issue,9,False,8
Sprint 11,Authentication,Frank,QA2,Low,Resolved,Code Issue,1,False,4
Sprint 11,Authentication,Frank,QA2,Low,Resolved,Environment Issue,24,False,1
Sprint 11,Authentication,Frank,QA2,Low,Closed,Environment Issue,2,True,6
Sprint 11,Authentication,Frank,QA2,Medium,Closed,Code Issue,8,True,8
Sprint 11,Authentication,Frank,QA2,Medium,In Progress,Environment Issue,25,False,6
Sprint 11,Authentication,Frank,QA2,High,In Progress,Environment Issue,28,False,1
Sprint 11,Billing,Bob,QA3,High,Closed,Test Coverage Miss,9,False,8
Sprint 11,Billing,Bob,QA3,High,In Progress,Requirement Gap,3,True,4
Sprint 11,Billing,Bob,QA3,Low,In Progress,Test Coverage Miss,5,False,8
Sprint 11,Billing,Bob,QA3,Critical,Closed,Environment Issue,20,True,2
Sprint 11,Billing,Bob,QA3,Critical,Open,Environment Issue,18,False,4
Sprint 11,Billing,Bob,QA3,High,Resolved,Environment Issue,2,True,6
Sprint 11,Payments,Eve,QA4,Low,Closed,Test Coverage Miss,6,False,3
Sprint 11,Payments,Eve,QA4,Critical,Open,Code Issue,6,True,3
Sprint 11,Payments,Eve,QA4,Critical,In Progress,Requirement Gap,15,False,1
Sprint 11,Payments,Eve,QA4,Medium,Resolved,Environment Issue,19,False,10
Sprint 11,Payments,Eve,QA4,Critical,In Progress,Test Coverage Miss,15,False,7
Sprint 11,Payments,Eve,QA4,Medium,Closed,Test Coverage Miss,30,True,2
Sprint 11,Payments,Eve,QA4,Medium,Closed,Requirement Gap,13,False,3
Sprint 11,Payments,Eve,QA4,High,In Progress,Code Issue,14,True,2
Sprint 11,Payments,Eve,QA4,Critical,Open,Environment Issue,17,False,8
Sprint 11,Payments,Eve,QA4,High,Closed,Requirement Gap,27,True,2
Sprint 11,Notifications,Eve,QA3,High,In Progress,Test Coverage Miss,19,False,8
Sprint 11,Notifications,Eve,QA3,Critical,Closed,Environment Issue,3,True,8
Sprint 11,Notifications,Eve,QA3,Medium,Closed,Test Coverage Miss,26,True,6
Sprint 11,Notifications,Eve,QA3,Low,Open,Code Issue,27,True,8
Sprint 11,Notifications,Eve,QA3,Medium,In Progress,Environment Issue,23,False,1
Sprint 11,Notifications,Eve,QA3,Critical,In Progress,Test Coverage Miss,15,False,2
Sprint 11,Reports,Charlie,QA3,Critical,Open,Code Issue,18,True,1
Sprint 11,Reports,Charlie,QA3,High,Closed,Code Issue,24,False,9
Sprint 11,Dashboard,Frank,QA4,Medium,Resolved,Environment Issue,7,False,3
Sprint 11,Dashboard,Frank,QA4,Low,In Progress,Test Coverage Miss,3,True,8
Sprint 11,Dashboard,Frank,QA4,High,Closed,Code Issue,13,False,10
Sprint 11,Dashboard,Frank,QA4,Low,In Progress,Test Coverage Miss,17,True,1
Sprint 11,Dashboard,Frank,QA4,Low,Closed,Environment Issue,20,False,8
Sprint 11,Dashboard,Frank,QA4,Low,Resolved,Requirement Gap,15,True,7
Sprint 11,Dashboard,Frank,QA4,Critical,Open,Test Coverage Miss,27,False,8
Sprint 11,Dashboard,Frank,QA4,Critical,Resolved,Code Issue,24,False,10
Sprint 11,Dashboard,Frank,QA4,Low,Open,Test Coverage Miss,8,True,2
Sprint 12,Authentication,David,QA3,High,In Progress,Code Issue,11,False,6
Sprint 12,Authentication,David,QA3,Critical,Resolved,Environment Issue,2,True,5
Sprint 12,Authentication,David,QA3,Medium,Open,Environment Issue,2,True,10
Sprint 12,Authentication,David,QA3,Critical,Resolved,Code Issue,10,True,7
Sprint 12,Authentication,David,QA3,Medium,Resolved,Test Coverage Miss,22,False,5
Sprint 12,Authentication,David,QA3,Medium,Closed,Requirement Gap,8,False,3
Sprint 12,Authentication,David,QA3,High,Open,Code Issue,8,True,10
Sprint 12,Billing,Charlie,QA3,Critical,Resolved,Test Coverage Miss,25,True,1
Sprint 12,Billing,Charlie,QA3,Low,Open,Requirement Gap,4,False,4
Sprint 12,Billing,Charlie,QA3,Critical,In Progress,Environment Issue,14,True,8
Sprint 12,Billing,Charlie,QA3,Medium,Open,Test Coverage Miss,7,False,5
Sprint 12,Billing,Charlie,QA3,Medium,Resolved,Test Coverage Miss,10,False,10
Sprint 12,Billing,Charlie,QA3,Critical,Resolved,Code Issue,21,True,1
Sprint 12,Billing,Charlie,QA3,Critical,Open,Requirement Gap,26,False,7
Sprint 12,Billing,Charlie,QA3,Critical,Closed,Test Coverage Miss,12,False,1
Sprint 12,Billing,Charlie,QA3,Medium,Resolved,Requirement Gap,11,True,10
Sprint 12,Billing,Charlie,QA3,Low,Open,Test Coverage Miss,14,True,6
Sprint 12,Payments,Bob,QA5,Medium,In Progress,Code Issue,6,True,1
Sprint 12,Payments,Bob,QA5,Low,Closed,Test Coverage Miss,12,True,6
Sprint 12,Payments,Bob,QA5,High,Resolved,Code Issue,4,False,2
Sprint 12,Notifications,Eve,QA3,Low,Resolved,Requirement Gap,1,False,8
Sprint 12,Notifications,Eve,QA3,Low,Closed,Code Issue,9,False,8
Sprint 12,Notifications,Eve,QA3,Critical,Resolved,Test Coverage Miss,7,False,9
Sprint 12,Notifications,Eve,QA3,High,Resolved,Test Coverage Miss,26,False,3
Sprint 12,Reports,Alice,QA4,Critical,Resolved,Environment Issue,14,False,6
Sprint 12,Reports,Alice,QA4,Medium,Resolved,Code Issue,9,True,3
Sprint 12,Reports,Alice,QA4,High,Resolved,Environment Issue,22,False,10
Sprint 12,Reports,Alice,QA4,Low,Resolved,Environment Issue,20,True,6
Sprint 12,Dashboard,Frank,QA5,Low,Closed,Code Issue,10,False,4
Sprint 12,Dashboard,Frank,QA5,High,In Progress,Environment Issue,12,True,6
Sprint 12,Dashboard,Frank,QA5,High,Open,Environment Issue,15,False,9
Sprint 12,Dashboard,Frank,QA5,High,Open,Code Issue,19,False,10
Sprint 12,Dashboard,Frank,QA5,High,In Progress,Code Issue,22,True,8
Sprint 12,Dashboard,Frank,QA5,Medium,Open,Environment Issue,14,True,10
Sprint 12,Dashboard,Frank,QA5,Critical,In Progress,Environment Issue,18,False,6
Sprint 12,Dashboard,Frank,QA5,Medium,Open,Environment Issue,29,True,6
Sprint 12,Dashboard,Frank,QA5,Low,In Progress,Environment Issue,22,True,6
Sprint 13,Authentication,Alice,QA2,High,Resolved,Environment Issue,21,False,2
Sprint 13,Authentication,Alice,QA2,Medium,Open,Environment Issue,2,False,2
Sprint 13,Authentication,Alice,QA2,Low,Closed,Environment Issue,25,False,4
Sprint 13,Authentication,Alice,QA2,High,Closed,Code Issue,18,False,5
Sprint 13,Authentication,Alice,QA2,Critical,In Progress,Code Issue,8,False,10
Sprint 13,Authentication,Alice,QA2,Critical,Resolved,Requirement Gap,29,True,5
Sprint 13,Authentication,Alice,QA2,Low,Resolved,Test Coverage Miss,6,True,4
Sprint 13,Authentication,Alice,QA2,High,Resolved,Requirement Gap,7,True,4
Sprint 13,Authentication,Alice,QA2,Critical,In Progress,Code Issue,22,False,9
Sprint 13,Authentication,Alice,QA2,Low,Closed,Test Coverage Miss,25,True,7
Sprint 13,Billing,Eve,QA4,Low,In Progress,Code Issue,2,True,1
Sprint 13,Billing,Eve,QA4,Low,Open,Code Issue,23,True,9
Sprint 13,Billing,Eve,QA4,Critical,Resolved,Environment Issue,26,True,9
Sprint 13,Billing,Eve,QA4,Medium,Closed,Code Issue,1,False,4
Sprint 13,Billing,Eve,QA4,Critical,Open,Requirement Gap,5,True,5
Sprint 13,Billing,Eve,QA4,Low,Resolved,Environment Issue,24,False,2
Sprint 13,Payments,Eve,QA4,Critical,In Progress,Code Issue,13,False,1
Sprint 13,Payments,Eve,QA4,Critical,Resolved,Requirement Gap,21,False,5
Sprint 13,Payments,Eve,QA4,Medium,Resolved,Environment Issue,24,False,6
Sprint 13,Payments,Eve,QA4,Medium,In Progress,Code Issue,14,True,9
Sprint 13,Payments,Eve,QA4,Medium,Resolved,Requirement Gap,2,False,1
Sprint 13,Payments,Eve,QA4,Critical,Closed,Code Issue,6,True,10
Sprint 13,Notifications,Bob,QA4,Low,Closed,Environment Issue,1,False,1
Sprint 13,Notifications,Bob,QA4,Low,In Progress,Requirement Gap,24,False,2
Sprint 13,Notifications,Bob,QA4,Medium,Closed,Code Issue,25,True,7
Sprint 13,Notifications,Bob,QA4,High,In Progress,Code Issue,15,False,3
Sprint 13,Notifications,Bob,QA4,Low,Closed,Test Coverage Miss,27,False,2
Sprint 13,Notifications,Bob,QA4,Low,Resolved,Requirement Gap,14,True,9
Sprint 13,Notifications,Bob,QA4,Medium,Resolved,Environment Issue,24,False,9
Sprint 13,Notifications,Bob,QA4,High,Resolved,Environment Issue,25,False,5
Sprint 13,Reports,Alice,QA5,High,Resolved,Requirement Gap,20,True,1
Sprint 13,Reports,Alice,QA5,High,Resolved,Requirement Gap,7,True,2
Sprint 13,Reports,Alice,QA5,Medium,In Progress,Environment Issue,8,True,6
Sprint 13,Reports,Alice,QA5,Low,Open,Environment Issue,3,True,3
Sprint 13,Dashboard,Frank,QA4,High,In Progress,Test Coverage Miss,4,True,1
Sprint 13,Dashboard,Frank,QA4,Critical,Resolved,Code Issue,9,True,1
Sprint 13,Dashboard,Frank,QA4,Low,Resolved,Code Issue,7,True,2
Sprint 13,Dashboard,Frank,QA4,High,In Progress,Test Coverage Miss,14,False,6
Sprint 13,Dashboard,Frank,QA4,Low,Resolved,Test Coverage Miss,1,False,9
Sprint 13,Dashboard,Frank,QA4,Low,In Progress,Environment Issue,19,False,5
Sprint 13,Dashboard,Frank,QA4,Critical,In Progress,Code Issue,24,False,7
Sprint 13,Dashboard,Frank,QA4,High,In Progress,Test Coverage Miss,20,False,2
Sprint 14,Authentication,Frank,QA5,Low,Open,Requirement Gap,12,True,6
Sprint 14,Authentication,Frank,QA5,Critical,Resolved,Test Coverage Miss,5,True,6
Sprint 14,Authentication,Frank,QA5,High,In Progress,Requirement Gap,7,False,6
Sprint 14,Authentication,Frank,QA5,Critical,Closed,Code Issue,10,False,6
Sprint 14,Authentication,Frank,QA5,Critical,Resolved,Requirement Gap,29,True,5
Sprint 14,Billing,Bob,QA4,Critical,In Progress,Code Issue,13,False,5
Sprint 14,Billing,Bob,QA4,Medium,Open,Environment Issue,28,True,7
Sprint 14,Billing,Bob,QA4,High,Closed,Requirement Gap,5,False,2
Sprint 14,Billing,Bob,QA4,Low,Open,Code Issue,28,False,9
Sprint 14,Billing,Bob,QA4,Critical,Closed,Requirement Gap,10,False,8
Sprint 14,Billing,Bob,QA4,Critical,Open,Test Coverage Miss,8,False,4
Sprint 14,Billing,Bob,QA4,High,In Progress,Environment Issue,22,True,9
Sprint 14,Billing,Bob,QA4,Low,Resolved,Environment Issue,1,False,6
Sprint 14,Payments,Frank,QA3,Medium,Open,Test Coverage Miss,23,True,3
Sprint 14,Payments,Frank,QA3,Low,Closed,Requirement Gap,28,False,3
Sprint 14,Payments,Frank,QA3,Critical,Closed,Code Issue,23,False,7
Sprint 14,Payments,Frank,QA3,Low,In Progress,Test Coverage Miss,13,False,10
Sprint 14,Payments,Frank,QA3,High,Resolved,Code Issue,8,False,2
Sprint 14,Payments,Frank,QA3,Critical,Closed,Code Issue,12,False,7
Sprint 14,Notifications,Frank,QA2,Low,Closed,Test Coverage Miss,24,True,5
Sprint 14,Notifications,Frank,QA2,High,Closed,Test Coverage Miss,24,False,3
Sprint 14,Notifications,Frank,QA2,Low,Resolved,Requirement Gap,10,True,10
Sprint 14,Reports,Frank,QA1,Low,Resolved,Environment Issue,12,True,7
Sprint 14,Reports,Frank,QA1,Medium,In Progress,Test Coverage Miss,23,False,9
Sprint 14,Reports,Frank,QA1,Medium,Resolved,Environment Issue,18,False,5
Sprint 14,Reports,Frank,QA1,Critical,Resolved,Test Coverage Miss,20,True,6
Sprint 14,Dashboard,Alice,QA3,Critical,Resolved,Code Issue,24,False,1
Sprint 14,Dashboard,Alice,QA3,Critical,Resolved,Requirement Gap,10,True,7
Sprint 14,Dashboard,Alice,QA3,High,In Progress,Code Issue,12,False,8
Sprint 15,Authentication,Bob,QA4,Critical,Closed,Requirement Gap,5,False,8
Sprint 15,Authentication,Bob,QA4,High,Open,Code Issue,6,False,3
Sprint 15,Authentication,Bob,QA4,Low,Open,Environment Issue,27,True,10
Sprint 15,Authentication,Bob,QA4,High,Open,Code Issue,18,True,9
Sprint 15,Authentication,Bob,QA4,Medium,In Progress,Environment Issue,21,True,3
Sprint 15,Authentication,Bob,QA4,Critical,Open,Code Issue,21,False,5
Sprint 15,Billing,Frank,QA1,Medium,Resolved,Requirement Gap,2,False,6
Sprint 15,Billing,Frank,QA1,High,Closed,Test Coverage Miss,2,True,8
Sprint 15,Billing,Frank,QA1,Critical,Open,Code Issue,7,False,2
Sprint 15,Billing,Frank,QA1,Medium,Resolved,Requirement Gap,16,True,9
Sprint 15,Billing,Frank,QA1,High,Resolved,Test Coverage Miss,28,True,9
Sprint 15,Payments,Eve,QA1,High,Resolved,Code Issue,30,True,4
Sprint 15,Payments,Eve,QA1,Critical,Closed,Environment Issue,4,False,4
Sprint 15,Payments,Eve,QA1,Medium,Closed,Code Issue,5,False,8
Sprint 15,Payments,Eve,QA1,High,Closed,Test Coverage Miss,27,True,2
Sprint 15,Payments,Eve,QA1,High,Closed,Code Issue,8,False,4
Sprint 15,Payments,Eve,QA1,Medium,Resolved,Environment Issue,20,False,3
Sprint 15,Notifications,David,QA3,High,Closed,Requirement Gap,17,True,6
Sprint 15,Notifications,David,QA3,Low,Open,Requirement Gap,18,True,6
Sprint 15,Notifications,David,QA3,High,In Progress,Environment Issue,30,True,3
Sprint 15,Notifications,David,QA3,Medium,Open,Code Issue,26,True,2
Sprint 15,Notifications,David,QA3,Low,Open,Code Issue,12,True,6
Sprint 15,Notifications,David,QA3,High,Closed,Requirement Gap,8,True,5
Sprint 15,Notifications,David,QA3,High,Resolved,Environment Issue,30,True,10
Sprint 15,Reports,David,QA1,Low,Open,Test Coverage Miss,28,True,4
Sprint 15,Reports,David,QA1,Low,Resolved,Test Coverage Miss,7,False,2
Sprint 15,Reports,David,QA1,High,Closed,Requirement Gap,23,False,10
Sprint 15,Reports,David,QA1,Critical,In Progress,Requirement Gap,24,True,2
Sprint 15,Reports,David,QA1,Critical,Closed,Test Coverage Miss,7,False,9
Sprint 15,Reports,David,QA1,High,In Progress,Requirement Gap,2,True,5
Sprint 15,Reports,David,QA1,High,In Progress,Code Issue,5,True,8
Sprint 15,Reports,David,QA1,Critical,Open,Code Issue,13,True,8
Sprint 15,Dashboard,Frank,QA2,Critical,In Progress,Environment Issue,14,False,1
Sprint 15,Dashboard,Frank,QA2,Medium,In Progress,Test Coverage Miss,28,True,2
Sprint 15,Dashboard,Frank,QA2,Medium,Open,Test Coverage Miss,30,True,7
Sprint 15,Dashboard,Frank,QA2,High,Closed,Test Coverage Miss,27,False,3
Sprint 15,Dashboard,Frank,QA2,Critical,Open,Requirement Gap,17,True,10
Sprint 15,Dashboard,Frank,QA2,Low,Resolved,Code Issue,1,False,9
Sprint 15,Dashboard,Frank,QA2,Critical,Closed,Code Issue,13,True,9
Sprint 15,Dashboard,Frank,QA2,High,Open,Environment Issue,2,True,5
Sprint 16,Authentication,Eve,QA5,Critical,In Progress,Test Coverage Miss,7,False,4
Sprint 16,Authentication,Eve,QA5,High,In Progress,Code Issue,10,True,8
Sprint 16,Authentication,Eve,QA5,Medium,Resolved,Requirement Gap,1,False,2
Sprint 16,Authentication,Eve,QA5,Medium,Resolved,Test Coverage Miss,6,False,10
Sprint 16,Authentication,Eve,QA5,Low,Open,Requirement Gap,5,False,3
Sprint 16,Authentication,Eve,QA5,Low,Open,Environment Issue,26,False,7
Sprint 16,Billing,Bob,QA3,Medium,Closed,Requirement Gap,20,True,10
Sprint 16,Billing,Bob,QA3,Critical,In Progress,Environment Issue,8,False,3
Sprint 16,Billing,Bob,QA3,Medium,Closed,Environment Issue,4,False,2
Sprint 16,Billing,Bob,QA3,Low,Closed,Test Coverage Miss,6,False,6
Sprint 16,Payments,Charlie,QA4,Critical,Open,Requirement Gap,16,True,8
Sprint 16,Payments,Charlie,QA4,Critical,In Progress,Code Issue,16,False,2
Sprint 16,Payments,Charlie,QA4,Medium,In Progress,Code Issue,22,True,7
Sprint 16,Payments,Charlie,QA4,Low,In Progress,Test Coverage Miss,18,True,9
Sprint 16,Payments,Charlie,QA4,Low,In Progress,Requirement Gap,4,True,1
Sprint 16,Payments,Charlie,QA4,Medium,Closed,Requirement Gap,8,False,5
Sprint 16,Payments,Charlie,QA4,Critical,Resolved,Test Coverage Miss,8,True,1
Sprint 16,Notifications,Alice,QA5,High,Closed,Test Coverage Miss,8,False,8
Sprint 16,Notifications,Alice,QA5,Medium,Closed,Code Issue,22,True,9
Sprint 16,Notifications,Alice,QA5,Low,Closed,Code Issue,7,True,3
Sprint 16,Notifications,Alice,QA5,Critical,Resolved,Requirement Gap,8,True,10
Sprint 16,Notifications,Alice,QA5,Low,In Progress,Environment Issue,30,True,7
Sprint 16,Notifications,Alice,QA5,High,Resolved,Test Coverage Miss,30,False,6
Sprint 16,Notifications,Alice,QA5,Low,In Progress,Test Coverage Miss,3,False,8
Sprint 16,Notifications,Alice,QA5,Critical,Open,Test Coverage Miss,17,True,2
Sprint 16,Notifications,Alice,QA5,Critical,Closed,Code Issue,20,True,2
Sprint 16,Notifications,Alice,QA5,Critical,Closed,Requirement Gap,20,True,6
Sprint 16,Reports,Frank,QA3,Low,In Progress,Test Coverage Miss,15,False,9
Sprint 16,Reports,Frank,QA3,Medium,Closed,Test Coverage Miss,30,True,8
Sprint 16,Reports,Frank,QA3,High,In Progress,Code Issue,9,False,2
Sprint 16,Reports,Frank,QA3,Low,Closed,Code Issue,6,False,7
Sprint 16,Reports,Frank,QA3,Low,Open,Code Issue,30,False,7
Sprint 16,Dashboard,Bob,QA3,Critical,Open,Requirement Gap,29,True,1
Sprint 16,Dashboard,Bob,QA3,Medium,Closed,Environment Issue,30,True,5
Sprint 16,Dashboard,Bob,QA3,Medium,Open,Test Coverage Miss,4,False,8
Sprint 17,Authentication,Eve,QA3,High,Resolved,Code Issue,8,False,6
Sprint 17,Authentication,Eve,QA3,High,Closed,Environment Issue,9,False,8
Sprint 17,Authentication,Eve,QA3,Low,Open,Code Issue,28,True,6
Sprint 17,Authentication,Eve,QA3,Low,Closed,Code Issue,1,False,4
Sprint 17,Authentication,Eve,QA3,Low,In Progress,Requirement Gap,30,False,2
Sprint 17,Authentication,Eve,QA3,Medium,Resolved,Test Coverage Miss,1,True,7
Sprint 17,Billing,David,QA4,High,Closed,Code Issue,19,False,5
Sprint 17,Billing,David,QA4,Medium,Open,Code Issue,15,True,4
Sprint 17,Billing,David,QA4,Critical,Open,Environment Issue,3,True,4
Sprint 17,Billing,David,QA4,Medium,Open,Code Issue,22,False,7
Sprint 17,Billing,David,QA4,Low,In Progress,Environment Issue,9,True,1
Sprint 17,Billing,David,QA4,Low,In Progress,Test Coverage Miss,15,False,3
Sprint 17,Payments,Alice,QA4,Medium,Open,Requirement Gap,19,True,9
Sprint 17,Payments,Alice,QA4,High,In Progress,Requirement Gap,23,True,7
Sprint 17,Payments,Alice,QA4,Medium,In Progress,Code Issue,10,False,2
Sprint 17,Payments,Alice,QA4,High,Resolved,Code Issue,27,True,6
Sprint 17,Payments,Alice,QA4,High,Resolved,Test Coverage Miss,16,False,1
Sprint 17,Payments,Alice,QA4,High,In Progress,Code Issue,5,False,2
Sprint 17,Payments,Alice,QA4,Low,In Progress,Environment Issue,16,False,1
Sprint 17,Payments,Alice,QA4,High,Closed,Requirement Gap,3,True,2
Sprint 17,Notifications,Charlie,QA3,High,Open,Environment Issue,5,True,6
Sprint 17,Notifications,Charlie,QA3,Low,Open,Test Coverage Miss,27,False,3
Sprint 17,Notifications,Charlie,QA3,High,In Progress,Test Coverage Miss,26,False,3
Sprint 17,Notifications,Charlie,QA3,Low,Resolved,Test Coverage Miss,25,True,9
Sprint 17,Notifications,Charlie,QA3,High,Closed,Code Issue,22,False,8
Sprint 17,Notifications,Charlie,QA3,Critical,Open,Environment Issue,17,False,8
Sprint 17,Reports,Alice,QA2,Medium,Closed,Requirement Gap,30,True,9
Sprint 17,Reports,Alice,QA2,Critical,Closed,Requirement Gap,2,False,7
Sprint 17,Reports,Alice,QA2,High,Open,Code Issue,7,False,4
Sprint 17,Reports,Alice,QA2,Medium,Closed,Code Issue,26,True,7
Sprint 17,Reports,Alice,QA2,Low,Closed,Requirement Gap,15,True,7
Sprint 17,Reports,Alice,QA2,Critical,In Progress,Requirement Gap,3,True,2
Sprint 17,Reports,Alice,QA2,Critical,In Progress,Requirement Gap,4,True,10
Sprint 17,Reports,Alice,QA2,High,Resolved,Code Issue,6,True,8
Sprint 17,Dashboard,David,QA2,Medium,Open,Code Issue,7,True,8
Sprint 17,Dashboard,David,QA2,High,Resolved,Requirement Gap,13,True,2
Sprint 17,Dashboard,David,QA2,Low,In Progress,Code Issue,3,True,4
Sprint 18,Authentication,Charlie,QA2,Critical,Closed,Test Coverage Miss,16,True,8
Sprint 18,Authentication,Charlie,QA2,Critical,Resolved,Test Coverage Miss,3,True,10
Sprint 18,Authentication,Charlie,QA2,High,Open,Requirement Gap,6,False,2
Sprint 18,Billing,Eve,QA4,Medium,Open,Test Coverage Miss,27,True,8
Sprint 18,Billing,Eve,QA4,Low,Closed,Requirement Gap,8,False,7
Sprint 18,Billing,Eve,QA4,High,In Progress,Requirement Gap,20,True,3
Sprint 18,Billing,Eve,QA4,Low,In Progress,Requirement Gap,6,False,7
Sprint 18,Billing,Eve,QA4,Medium,In Progress,Requirement Gap,23,True,8
Sprint 18,Billing,Eve,QA4,Medium,Resolved,Test Coverage Miss,10,False,9
Sprint 18,Billing,Eve,QA4,Low,Resolved,Code Issue,10,True,4
Sprint 18,Payments,Frank,QA1,Low,Closed,Environment Issue,2,False,9
Sprint 18,Payments,Frank,QA1,Critical,Resolved,Test Coverage Miss,27,True,6
Sprint 18,Payments,Frank,QA1,Critical,In Progress,Requirement Gap,23,False,6
Sprint 18,Payments,Frank,QA1,Low,Closed,Code Issue,27,True,8
Sprint 18,Payments,Frank,QA1,Critical,In Progress,Code Issue,30,False,8
Sprint 18,Payments,Frank,QA1,Medium,Open,Environment Issue,22,True,9
Sprint 18,Payments,Frank,QA1,Medium,Resolved,Requirement Gap,9,False,7
Sprint 18,Notifications,Bob,QA2,Critical,Closed,Test Coverage Miss,19,False,6
Sprint 18,Notifications,Bob,QA2,Critical,Resolved,Environment Issue,10,True,10
Sprint 18,Notifications,Bob,QA2,Low,Closed,Code Issue,12,False,1
Sprint 18,Notifications,Bob,QA2,Low,In Progress,Environment Issue,5,True,3
Sprint 18,Notifications,Bob,QA2,Medium,Resolved,Environment Issue,2,False,8
Sprint 18,Notifications,Bob,QA2,High,Closed,Test Coverage Miss,19,False,1
Sprint 18,Reports,Bob,QA3,Critical,Open,Environment Issue,10,True,4
Sprint 18,Reports,Bob,QA3,Medium,In Progress,Test Coverage Miss,20,True,2
Sprint 18,Reports,Bob,QA3,Medium,Closed,Test Coverage Miss,8,False,10
Sprint 18,Reports,Bob,QA3,Low,Resolved,Environment Issue,5,True,5
Sprint 18,Reports,Bob,QA3,Low,Resolved,Test Coverage Miss,17,True,7
Sprint 18,Reports,Bob,QA3,Medium,Closed,Test Coverage Miss,25,False,9
Sprint 18,Dashboard,David,QA3,Medium,Resolved,Requirement Gap,4,True,6
Sprint 18,Dashboard,David,QA3,High,Open,Requirement Gap,16,False,1
Sprint 19,Authentication,Eve,QA2,Medium,In Progress,Test Coverage Miss,5,True,9
Sprint 19,Authentication,Eve,QA2,High,Resolved,Requirement Gap,18,True,1
Sprint 19,Authentication,Eve,QA2,Critical,In Progress,Code Issue,5,True,9
Sprint 19,Authentication,Eve,QA2,Medium,Open,Environment Issue,23,True,10
Sprint 19,Authentication,Eve,QA2,Low,Open,Requirement Gap,20,True,7
Sprint 19,Billing,David,QA2,Low,Resolved,Environment Issue,9,True,6
Sprint 19,Billing,David,QA2,Low,In Progress,Test Coverage Miss,9,False,2
Sprint 19,Billing,David,QA2,Medium,Closed,Code Issue,14,True,10
Sprint 19,Payments,David,QA3,Low,Open,Code Issue,19,False,2
Sprint 19,Payments,David,QA3,Medium,Closed,Requirement Gap,30,False,2
Sprint 19,Payments,David,QA3,High,In Progress,Test Coverage Miss,6,True,10
Sprint 19,Payments,David,QA3,Medium,Open,Code Issue,23,False,9
Sprint 19,Payments,David,QA3,High,Resolved,Environment Issue,24,False,9
Sprint 19,Payments,David,QA3,Low,In Progress,Requirement Gap,18,False,4
Sprint 19,Payments,David,QA3,Critical,Closed,Test Coverage Miss,20,True,3
Sprint 19,Payments,David,QA3,Critical,Resolved,Environment Issue,6,True,10
Sprint 19,Payments,David,QA3,High,In Progress,Requirement Gap,25,True,8
Sprint 19,Payments,David,QA3,Critical,Closed,Code Issue,20,False,3
Sprint 19,Notifications,Charlie,QA1,Low,Resolved,Environment Issue,5,True,8
Sprint 19,Notifications,Charlie,QA1,High,Closed,Requirement Gap,13,False,3
Sprint 19,Reports,David,QA4,Low,Open,Code Issue,10,True,5
