Sprint,Module,Priority,Status,Root_Cause_Analysis
Sprint 14,Billing,Critical,Resolved,Environment Issue
Sprint 14,Payments,High,Closed,Test Coverage Miss
Sprint 14,Payments,Medium,Open,Environment Issue
Sprint 14,Payments,Critical,Open,Code Issue
Sprint 14,Payments,Medium,Closed,Requirement Gap
Sprint 14,Payments,Medium,Closed,Code Issue
Sprint 14,Payments,Critical,Resolved,Test Coverage Miss
Sprint 14,Payments,Critical,Open,Environment Issue
Sprint 14,Payments,Critical,Closed,Environment Issue
Sprint 14,Payments,High,Resolved,Requirement Gap
Sprint 14,Notifications,Low,Open,Code Issue
Sprint 14,Notifications,Medium,Resolved,Code Issue
Sprint 14,Notifications,High,In Progress,Test Coverage Miss
Sprint 14,Notifications,Critical,Closed,Requirement Gap
Sprint 14,Notifications,High,Closed,Requirement Gap
Sprint 14,Reports,Critical,In Progress,Requirement Gap
Sprint 14,Reports,Medium,In Progress,Environment Issue
Sprint 14,Dashboard,Medium,Open,Test Coverage Miss
Sprint 14,Dashboard,High,Closed,Code Issue
Sprint 14,Dashboard,Low,Open,Code Issue
Sprint 15,Authentication,High,In Progress,Test Coverage Miss
Sprint 15,Authentication,High,Open,Code Issue
Sprint 15,Authentication,High,Resolved,Requirement Gap
Sprint 15,Authentication,Low,Open,Requirement Gap
Sprint 15,Authentication,High,Closed,Requirement Gap
Sprint 15,Authentication,Low,Open,Code Issue
Sprint 15,Authentication,Low,Resolved,Test Coverage Miss
Sprint 15,Billing,Low,Open,Requirement Gap
Sprint 15,Billing,Critical,Closed,Test Coverage Miss
Sprint 15,Billing,Critical,Open,Test Coverage Miss
Sprint 15,Billing,Medium,Open,Test Coverage Miss
Sprint 15,Billing,Low,Closed,Environment Issue
Sprint 15,Billing,Low,Resolved,Environment Issue
Sprint 15,Billing,Low,Open,Test Coverage Miss
Sprint 15,Payments,Low,Resolved,Code Issue
Sprint 15,Payments,High,Open,Requirement Gap
Sprint 15,Payments,High,Open,Test Coverage Miss
Sprint 15,Payments,High,Open,Test Coverage Miss
Sprint 15,Notifications,High,Open,Code Issue
Sprint 15,Notifications,High,Resolved,Requirement Gap
Sprint 15,Notifications,Medium,In Progress,Test Coverage Miss
Sprint 15,Notifications,Medium,Closed,Code Issue
Sprint 15,Notifications,High,Resolved,Test Coverage Miss
Sprint 15,Notifications,Critical,In Progress,Environment Issue
Sprint 15,Notifications,Low,Closed,Code Issue
Sprint 15,Reports,Medium,Open,Environment Issue
Sprint 15,Reports,Medium,Closed,Requirement Gap
Sprint 15,Reports,Low,Closed,Requirement Gap
Sprint 15,Reports,Medium,Resolved,Code Issue
Sprint 15,Reports,Medium,In Progress,Test Coverage Miss
Sprint 15,Reports,Low,Resolved,Environment Issue
Sprint 15,Dashboard,Low,Closed,Requirement Gap
Sprint 15,Dashboard,Low,Closed,Requirement Gap
Sprint 15,Dashboard,Low,Open,Test Coverage Miss
Sprint 16,Authentication,Low,Open,Test Coverage Miss
Sprint 16,Authentication,Low,Resolved,Code Issue
Sprint 16,Authentication,Critical,Open,Requirement Gap
Sprint 16,Authentication,Critical,Open,Requirement Gap
Sprint 16,Billing,Low,Resolved,Requirement Gap
Sprint 16,Billing,Critical,Open,Environment Issue
Sprint 16,Billing,Low,In Progress,Test Coverage Miss
Sprint 16,Billing,High,Resolved,Test Coverage Miss
Sprint 16,Billing,Low,In Progress,Code Issue
Sprint 16,Billing,Critical,In Progress,Code Issue
Sprint 16,Billing,Medium,In Progress,Requirement Gap
Sprint 16,Billing,High,Resolved,Environment Issue
Sprint 16,Billing,High,Closed,Requirement Gap
Sprint 16,Payments,Low,Open,Test Coverage Miss
Sprint 16,Payments,Critical,Resolved,Test Coverage Miss
Sprint 16,Payments,High,Resolved,Code Issue
Sprint 16,Payments,Medium,Open,Code Issue
Sprint 16,Payments,Low,Open,Test Coverage Miss
Sprint 16,Payments,High,Resolved,Test Coverage Miss
Sprint 16,Payments,Critical,Open,Requirement Gap
Sprint 16,Notifications,Medium,Closed,Code Issue
Sprint 16,Notifications,Medium,Resolved,Test Coverage Miss
Sprint 16,Notifications,High,In Progress,Environment Issue
Sprint 16,Notifications,Low,Resolved,Environment Issue
Sprint 16,Notifications,High,Closed,Requirement Gap
Sprint 16,Notifications,High,Resolved,Test Coverage Miss
Sprint 16,Notifications,High,Open,Code Issue
Sprint 16,Notifications,Critical,In Progress,Test Coverage Miss
Sprint 16,Reports,High,In Progress,Code Issue
Sprint 16,Reports,Medium,Resolved,Test Coverage Miss
Sprint 16,Reports,Critical,Resolved,Code Issue
Sprint 16,Reports,Critical,Closed,Environment Issue
Sprint 16,Reports,Low,Open,Requirement Gap
Sprint 16,Reports,Low,Closed,Code Issue
Sprint 16,Reports,Low,Resolved,Code Issue
Sprint 16,Reports,Critical,In Progress,Environment Issue
Sprint 16,Dashboard,Low,In Progress,Test Coverage Miss
Sprint 16,Dashboard,Medium,Closed,Requirement Gap
Sprint 16,Dashboard,Critical,Open,Code Issue
Sprint 16,Dashboard,Critical,Closed,Code Issue
Sprint 17,Authentication,Critical,Resolved,Code Issue
Sprint 17,Authentication,Low,Open,Code Issue
Sprint 17,Authentication,Critical,In Progress,Environment Issue
Sprint 17,Authentication,Low,Closed,Code Issue
Sprint 17,Authentication,Medium,In Progress,Requirement Gap
Sprint 17,Authentication,Low,In Progress,Requirement Gap
Sprint 17,Authentication,High,Resolved,Test Coverage Miss
Sprint 17,Authentication,Low,Open,Environment Issue
Sprint 17,Authentication,High,Open,Environment Issue
Sprint 17,Billing,Critical,Resolved,Environment Issue
Sprint 17,Billing,Critical,Resolved,Test Coverage Miss
Sprint 17,Billing,Critical,Open,Code Issue
Sprint 17,Billing,Medium,Closed,Code Issue
Sprint 17,Billing,High,Closed,Requirement Gap
Sprint 17,Billing,Low,Closed,Code Issue
Sprint 17,Billing,Low,Resolved,Environment Issue
Sprint 17,Billing,Low,In Progress,Test Coverage Miss
Sprint 17,Payments,Low,In Progress,Code Issue
Sprint 17,Payments,Critical,Resolved,Test Coverage Miss
Sprint 17,Notifications,Critical,Closed,Environment Issue
Sprint 17,Notifications,Low,Closed,Test Coverage Miss
Sprint 17,Notifications,Medium,Closed,Code Issue
Sprint 17,Notifications,Medium,Resolved,Requirement Gap
Sprint 17,Reports,Medium,Open,Environment Issue
Sprint 17,Reports,Medium,Resolved,Code Issue
Sprint 17,Reports,High,Resolved,Environment Issue
Sprint 17,Reports,High,Open,Requirement Gap
Sprint 17,Reports,Critical,Open,Requirement Gap
Sprint 17,Reports,Medium,Open,Requirement Gap
Sprint 17,Dashboard,Low,Closed,Test Coverage Miss
Sprint 17,Dashboard,Low,Closed,Environment Issue
Sprint 17,Dashboard,Low,Resolved,Code Issue
Sprint 18,Authentication,High,Resolved,Requirement Gap
Sprint 18,Authentication,Low,Closed,Requirement Gap
Sprint 18,Authentication,Critical,Resolved,Code Issue
Sprint 18,Authentication,Low,Open,Requirement Gap
Sprint 18,Billing,High,In Progress,Requirement Gap
Sprint 18,Billing,Medium,Resolved,Test Coverage Miss
Sprint 18,Payments,Critical,Resolved,Requirement Gap
Sprint 18,Payments,High,Resolved,Test Coverage Miss
Sprint 18,Payments,Critical,Resolved,Requirement Gap
Sprint 18,Payments,Low,Resolved,Test Coverage Miss
Sprint 18,Payments,Critical,Resolved,Code Issue
Sprint 18,Payments,Critical,Open,Requirement Gap
Sprint 18,Payments,High,In Progress,Requirement Gap
Sprint 18,Notifications,Medium,Resolved,Requirement Gap
Sprint 18,Notifications,Critical,Resolved,Requirement Gap
Sprint 18,Notifications,Low,In Progress,Environment Issue
Sprint 18,Reports,Critical,Closed,Environment Issue
Sprint 18,Reports,High,Closed,Test Coverage Miss
Sprint 18,Reports,Medium,Closed,Test Coverage Miss
Sprint 18,Reports,Low,Open,Code Issue
Sprint 18,Reports,Low,Open,Test Coverage Miss
Sprint 18,Reports,Low,Closed,Test Coverage Miss
Sprint 18,Dashboard,Medium,Resolved,Code Issue
Sprint 18,Dashboard,High,Resolved,Requirement Gap
Sprint 18,Dashboard,Low,In Progress,Code Issue
Sprint 18,Dashboard,Critical,Closed,Environment Issue
Sprint 18,Dashboard,Medium,In Progress,Environment Issue
Sprint 19,Authentication,Medium,Closed,Requirement Gap
Sprint 19,Authentication,Medium,Closed,Environment Issue
Sprint 19,Authentication,Low,In Progress,Code Issue
Sprint 19,Authentication,High,Resolved,Code Issue
Sprint 19,Billing,Medium,Open,Requirement Gap
Sprint 19,Billing,Medium,In Progress,Code Issue
Sprint 19,Billing,High,Open,Test Coverage Miss
Sprint 19,Billing,High,Resolved,Code Issue
Sprint 19,Billing,High,Resolved,Environment Issue
Sprint 19,Billing,Medium,In Progress,Requirement Gap
Sprint 19,Billing,Critical,In Progress,Requirement Gap
Sprint 19,Payments,Medium,Closed,Requirement Gap
Sprint 19,Payments,Medium,Closed,Environment Issue
Sprint 19,Payments,Critical,Open,Test Coverage Miss
Sprint 19,Payments,Critical,Closed,Environment Issue
Sprint 19,Payments,High,Open,Code Issue
Sprint 19,Payments,Critical,In Progress,Test Coverage Miss
Sprint 19,Notifications,Medium,In Progress,Test Coverage Miss
Sprint 19,Notifications,Low,Open,Code Issue
Sprint 19,Notifications,Low,Resolved,Environment Issue
Sprint 19,Notifications,Low,Resolved,Requirement Gap
Sprint 19,Notifications,High,Open,Test Coverage Miss
Sprint 19,Notifications,Medium,Open,Requirement Gap
Sprint 19,Reports,Low,In Progress,Test Coverage Miss
Sprint 19,Reports,Medium,Resolved,Code Issue
Sprint 19,Reports,Medium,Open,Requirement Gap
Sprint 19,Reports,Low,Open,Test Coverage Miss
Sprint 19,Reports,Low,In Progress,Requirement Gap
Sprint 19,Reports,Low,In Progress,Environment Issue
Sprint 19,Reports,Critical,Resolved,Code Issue
Sprint 19,Dashboard,Critical,Closed,Environment Issue
Sprint 19,Dashboard,Low,Open,Test Coverage Miss
Sprint 19,Dashboard,High,Closed,Requirement Gap
Sprint 19,Dashboard,High,In Progress,Requirement Gap
Sprint 19,Dashboard,Critical,Open,Environment Issue
Sprint 19,Dashboard,Critical,Open,Environment Issue
Sprint 20,Authentication,Medium,Resolved,Test Coverage Miss
Sprint 20,Authentication,Low,In Progress,Code Issue
Sprint 20,Authentication,Medium,Resolved,Requirement Gap
Sprint 20,Billing,Low,In Progress,Environment Issue
Sprint 20,Billing,Low,Open,Code Issue
Sprint 20,Billing,High,Open,Code Issue
Sprint 20,Billing,High,In Progress,Code Issue
Sprint 20,Billing,High,Closed,Environment Issue
Sprint 20,Billing,Low,Open,Environment Issue
Sprint 20,Billing,High,Closed,Requirement Gap
Sprint 20,Billing,Low,Open,Requirement Gap
Sprint 20,Payments,Low,Closed,Test Coverage Miss
Sprint 20,Payments,High,Open,Environment Issue
Sprint 20,Payments,Critical,Closed,Environment Issue
Sprint 20,Notifications,High,Open,Environment Issue
Sprint 20,Notifications,Critical,Open,Test Coverage Miss
Sprint 20,Reports,Medium,In Progress,Requirement Gap
Sprint 20,Reports,Critical,In Progress,Code Issue
Sprint 20,Reports,Critical,Closed,Environment Issue
Sprint 20,Reports,Critical,Resolved,Requirement Gap
Sprint 20,Reports,Medium,Resolved,Environment Issue
Sprint 20,Dashboard,Critical,Closed,Requirement Gap
Sprint 20,Dashboard,High,Closed,Requirement Gap
Sprint 20,Dashboard,Medium,Closed,Code Issue
Sprint 20,Dashboard,Low,Closed,Requirement Gap
Sprint 20,Dashboard,Medium,In Progress,Code Issue
Sprint 21,Authentication,Low,Open,Test Coverage Miss
Sprint 21,Authentication,Medium,Closed,Environment Issue
Sprint 21,Authentication,Medium,Closed,Requirement Gap
Sprint 21,Authentication,Low,Closed,Code Issue
Sprint 21,Authentication,Medium,Open,Environment Issue
Sprint 21,Billing,Medium,Open,Code Issue
Sprint 21,Billing,Medium,In Progress,Test Coverage Miss
Sprint 21,Billing,Low,Resolved,Test Coverage Miss
Sprint 21,Billing,High,Closed,Environment Issue
Sprint 21,Payments,High,In Progress,Code Issue
Sprint 21,Payments,Low,Resolved,Requirement Gap
Sprint 21,Payments,Low,Open,Code Issue
Sprint 21,Payments,Critical,In Progress,Requirement Gap
Sprint 21,Notifications,Medium,Open,Code Issue
Sprint 21,Notifications,Medium,Closed,Environment Issue
Sprint 21,Notifications,Medium,Open,Test Coverage Miss
Sprint 21,Notifications,Critical,Open,Requirement Gap
Sprint 21,Notifications,Critical,Closed,Test Coverage Miss
Sprint 21,Notifications,High,Closed,Test Coverage Miss
Sprint 21,Notifications,High,Closed,Environment Issue
Sprint 21,Notifications,High,Closed,Code Issue
Sprint 21,Notifications,High,In Progress,Environment Issue
Sprint 21,Reports,Low,Open,Requirement Gap
Sprint 21,Reports,Low,Open,Requirement Gap
Sprint 21,Dashboard,Medium,Closed,Code Issue
Sprint 21,Dashboard,High,Open,Code Issue
Sprint 21,Dashboard,High,In Progress,Code Issue
Sprint 21,Dashboard,Critical,In Progress,Test Coverage Miss
Sprint 21,Dashboard,High,Open,Code Issue
Sprint 22,Authentication,High,Open,Code Issue
Sprint 22,Authentication,Medium,In Progress,Requirement Gap
Sprint 22,Authentication,High,Closed,Environment Issue
Sprint 22,Authentication,Low,In Progress,Requirement Gap
Sprint 22,Billing,Medium,Resolved,Test Coverage Miss
Sprint 22,Billing,Low,Open,Requirement Gap
Sprint 22,Billing,Medium,In Progress,Requirement Gap
Sprint 22,Billing,Low,Closed,Test Coverage Miss
Sprint 22,Payments,Low,In Progress,Test Coverage Miss
Sprint 22,Payments,Medium,Resolved,Test Coverage Miss
Sprint 22,Payments,Medium,Closed,Test Coverage Miss
Sprint 22,Payments,Low,Closed,Requirement Gap
Sprint 22,Notifications,Medium,Resolved,Requirement Gap
Sprint 22,Notifications,Low,Closed,Environment Issue
Sprint 22,Reports,High,Closed,Environment Issue
Sprint 22,Reports,Medium,Closed,Environment Issue
Sprint 22,Reports,Medium,Resolved,Environment Issue
Sprint 22,Reports,Medium,Closed,Code Issue
Sprint 22,Dashboard,Medium,In Progress,Environment Issue
Sprint 22,Dashboard,Critical,In Progress,Requirement Gap
Sprint 22,Dashboard,Low,Resolved,Environment Issue
Sprint 22,Dashboard,Medium,Resolved,Requirement Gap
Sprint 22,Dashboard,Critical,Open,Environment Issue
Sprint 22,Dashboard,Low,Closed,Test Coverage Miss
Sprint 22,Dashboard,High,Closed,Test Coverage Miss
Sprint 22,Dashboard,Critical,In Progress,Requirement Gap
Sprint 23,Authentication,Medium,Closed,Requirement Gap
Sprint 23,Authentication,High,Open,Environment Issue
Sprint 23,Authentication,Medium,Closed,Environment Issue
Sprint 23,Authentication,Medium,Resolved,Environment Issue
Sprint 23,Authentication,Low,Open,Test Coverage Miss
Sprint 23,Authentication,Critical,In Progress,Test Coverage Miss
Sprint 23,Authentication,Low,In Progress,Environment Issue
Sprint 23,Billing,High,Resolved,Test Coverage Miss
Sprint 23,Billing,Medium,Open,Requirement Gap
Sprint 23,Billing,Critical,Open,Requirement Gap
Sprint 23,Billing,Critical,In Progress,Test Coverage Miss
Sprint 23,Payments,Medium,Closed,Requirement Gap
Sprint 23,Payments,Low,Closed,Test Coverage Miss
Sprint 23,Payments,Critical,Open,Test Coverage Miss
Sprint 23,Payments,Critical,Resolved,Environment Issue
Sprint 23,Payments,High,Resolved,Test Coverage Miss
Sprint 23,Payments,High,Open,Requirement Gap
Sprint 23,Payments,Medium,Open,Environment Issue
Sprint 23,Notifications,Critical,In Progress,Test Coverage Miss
Sprint 23,Notifications,Low,Open,Environment Issue
Sprint 23,Notifications,Critical,Closed,Code Issue
Sprint 23,Notifications,High,Closed,Test Coverage Miss
Sprint 23,Reports,Medium,Closed,Code Issue
Sprint 23,Reports,High,Closed,Environment Issue
Sprint 23,Reports,Medium,In Progress,Requirement Gap
Sprint 23,Reports,Medium,Resolved,Requirement Gap
Sprint 23,Reports,High,Resolved,Test Coverage Miss
Sprint 23,Reports,Medium,Closed,Environment Issue
Sprint 23,Reports,High,Resolved,Test Coverage Miss
Sprint 23,Dashboard,Critical,Resolved,Code Issue
Sprint 23,Dashboard,Critical,Resolved,Code Issue
Sprint 23,Dashboard,Critical,Closed,Requirement Gap
Sprint 23,Dashboard,Medium,Closed,Test Coverage Miss
Sprint 24,Authentication,Critical,Open,Requirement Gap
Sprint 24,Authentication,Critical,Open,Requirement Gap
Sprint 24,Authentication,High,Closed,Environment Issue
Sprint 24,Authentication,Medium,In Progress,Test Coverage Miss
Sprint 24,Authentication,High,Open,Code Issue
Sprint 24,Authentication,Medium,Open,Code Issue
Sprint 24,Authentication,Low,Open,Test Coverage Miss
Sprint 24,Billing,Medium,In Progress,Code Issue
Sprint 24,Billing,Critical,Open,Code Issue
Sprint 24,Billing,Medium,Resolved,Code Issue
Sprint 24,Billing,Low,Closed,Test Coverage Miss
Sprint 24,Billing,Medium,Closed,Environment Issue
Sprint 24,Billing,Critical,In Progress,Code Issue
Sprint 24,Payments,Low,Open,Test Coverage Miss
Sprint 24,Payments,Low,Resolved,Requirement Gap
Sprint 24,Payments,High,Closed,Code Issue
Sprint 24,Payments,Critical,Resolved,Requirement Gap
Sprint 24,Payments,High,In Progress,Test Coverage Miss
Sprint 24,Payments,Low,Closed,Environment Issue
Sprint 24,Payments,Low,In Progress,Test Coverage Miss
Sprint 24,Notifications,Low,In Progress,Requirement Gap
Sprint 24,Notifications,Critical,In Progress,Code Issue
Sprint 24,Notifications,Low,Closed,Code Issue
Sprint 24,Notifications,Critical,In Progress,Environment Issue
Sprint 24,Notifications,Low,Closed,Environment Issue
Sprint 24,Notifications,High,Closed,Environment Issue
Sprint 24,Notifications,Critical,In Progress,Requirement Gap
Sprint 24,Notifications,High,Open,Code Issue
Sprint 24,Reports,Medium,Open,Environment Issue
Sprint 24,Reports,Low,Resolved,Environment Issue
Sprint 24,Reports,Medium,Open,Test Coverage Miss
Sprint 24,Reports,Low,Closed,Environment Issue
Sprint 24,Reports,Medium,Open,Test Coverage Miss
Sprint 24,Reports,Critical,Closed,Test Coverage Miss
Sprint 24,Reports,Medium,Open,Test Coverage Miss
Sprint 24,Dashboard,High,Closed,Test Coverage Miss
Sprint 24,Dashboard,High,Resolved,Environment Issue
Sprint 24,Dashboard,Medium,In Progress,Environment Issue
Sprint 24,Dashboard,Low,Open,Test Coverage Miss
Sprint 25,Authentication,Critical,Open,Test Coverage Miss
Sprint 25,Authentication,Low,Open,Test Coverage Miss
Sprint 25,Authentication,High,In Progress,Requirement Gap
Sprint 25,Authentication,Medium,In Progress,Test Coverage Miss
Sprint 25,Authentication,Critical,Open,Requirement Gap
Sprint 25,Authentication,Medium,Resolved,Code Issue
Sprint 25,Authentication,Medium,In Progress,Test Coverage Miss
Sprint 25,Authentication,Low,Resolved,Requirement Gap
Sprint 25,Authentication,High,In Progress,Code Issue
Sprint 25,Authentication,Medium,Closed,Code Issue
Sprint 25,Billing,Critical,Closed,Code Issue
Sprint 25,Billing,Critical,Resolved,Requirement Gap
Sprint 25,Billing,Critical,Open,Environment Issue
Sprint 25,Billing,High,In Progress,Test Coverage Miss
Sprint 25,Billing,High,In Progress,Environment Issue
Sprint 25,Payments,High,In Progress,Requirement Gap
Sprint 25,Payments,Low,Open,Environment Issue
Sprint 25,Notifications,Low,In Progress,Environment Issue
Sprint 25,Notifications,Low,Open,Requirement Gap
Sprint 25,Notifications,Critical,Open,Code Issue
Sprint 25,Notifications,Medium,Resolved,Test Coverage Miss
Sprint 25,Reports,Medium,Open,Requirement Gap
Sprint 25,Reports,Low,Resolved,Test Coverage Miss
Sprint 25,Dashboard,Medium,Closed,Test Coverage Miss
Sprint 25,Dashboard,Low,Closed,Environment Issue
Sprint 25,Dashboard,Medium,Closed,Test Coverage Miss
Sprint 25,Dashboard,High,In Progress,Requirement Gap
Sprint 25,Dashboard,Medium,Open,Test Coverage Miss
Sprint 25,Dashboard,Medium,In Progress,Requirement Gap
Sprint 26,Authentication,Low,Resolved,Code Issue
Sprint 26,Authentication,Low,Resolved,Environment Issue
Sprint 26,Authentication,High,In Progress,Code Issue
Sprint 26,Billing,Medium,Resolved,Test Coverage Miss
Sprint 26,Billing,Critical,Resolved,Environment Issue
Sprint 26,Billing,Critical,Resolved,Requirement Gap
Sprint 26,Billing,Medium,Resolved,Requirement Gap
Sprint 26,Billing,Medium,In Progress,Requirement Gap
Sprint 26,Billing,Low,Closed,Requirement Gap
Sprint 26,Billing,Medium,In Progress,Code Issue
Sprint 26,Billing,Critical,Open,Requirement Gap
Sprint 26,Billing,High,Resolved,Environment Issue
Sprint 26,Billing,Critical,Resolved,Code Issue
Sprint 26,Payments,Low,Closed,Environment Issue
Sprint 26,Payments,Medium,Resolved,Requirement Gap
Sprint 26,Payments,High,Resolved,Test Coverage Miss
Sprint 26,Payments,Low,Closed,Environment Issue
Sprint 26,Payments,Medium,Closed,Requirement Gap
Sprint 26,Payments,Medium,Open,Environment Issue
Sprint 26,Notifications,Critical,Resolved,Environment Issue
Sprint 26,Notifications,Low,Closed,Code Issue
Sprint 26,Notifications,Low,Open,Environment Issue
Sprint 26,Notifications,Medium,Resolved,Test Coverage Miss
Sprint 26,Notifications,Medium,In Progress,Environment Issue
Sprint 26,Notifications,Medium,Closed,Environment Issue
Sprint 26,Reports,Medium,Resolved,Environment Issue
Sprint 26,Reports,Low,In Progress,Code Issue
Sprint 26,Reports,Low,Resolved,Environment Issue
Sprint 26,Reports,Low,Resolved,Test Coverage Miss
Sprint 26,Reports,Medium,Closed,Test Coverage Miss
Sprint 26,Reports,Low,Closed,Test Coverage Miss
Sprint 26,Reports,Medium,In Progress,Environment Issue
Sprint 26,Reports,Low,In Progress,Code Issue
Sprint 26,Reports,Critical,In Progress,Code Issue
Sprint 26,Dashboard,High,Closed,Requirement Gap
Sprint 26,Dashboard,Low,In Progress,Code Issue
Sprint 27,Authentication,Critical,Open,Test Coverage Miss
Sprint 27,Authentication,Critical,In Progress,Requirement Gap
Sprint 27,Authentication,Low,Closed,Code Issue
Sprint 27,Authentication,Medium,In Progress,Requirement Gap
Sprint 27,Authentication,Critical,Closed,Requirement Gap
Sprint 27,Billing,Medium,Resolved,Test Coverage Miss
Sprint 27,Billing,Critical,In Progress,Test Coverage Miss
Sprint 27,Billing,Critical,Open,Environment Issue
Sprint 27,Billing,High,Closed,Code Issue
Sprint 27,Billing,Medium,Resolved,Code Issue
Sprint 27,Billing,Low,Open,Code Issue
Sprint 27,Billing,High,Resolved,Environment Issue
Sprint 27,Billing,Critical,Open,Environment Issue
Sprint 27,Billing,Medium,In Progress,Requirement Gap
Sprint 27,Billing,Medium,Closed,Test Coverage Miss
Sprint 27,Payments,Medium,Open,Code Issue
Sprint 27,Payments,Low,Resolved,Code Issue
Sprint 27,Payments,High,Open,Requirement Gap
Sprint 27,Payments,Low,Closed,Environment Issue
Sprint 27,Payments,High,Open,Environment Issue
Sprint 27,Payments,Medium,Resolved,Code Issue
Sprint 27,Notifications,High,Resolved,Environment Issue
Sprint 27,Notifications,High,Resolved,Code Issue
Sprint 27,Notifications,Critical,Open,Requirement Gap
Sprint 27,Notifications,Low,In Progress,Requirement Gap
Sprint 27,Notifications,Low,Closed,Code Issue
Sprint 27,Notifications,High,Open,Test Coverage Miss
Sprint 27,Notifications,Critical,Open,Test Coverage Miss
Sprint 27,Notifications,Medium,Open,Requirement Gap
Sprint 27,Notifications,Critical,Open,Code Issue
Sprint 27,Notifications,Medium,In Progress,Environment Issue
Sprint 27,Reports,Critical,Closed,Code Issue
Sprint 27,Reports,High,In Progress,Environment Issue
Sprint 27,Reports,Low,Closed,Requirement Gap
Sprint 27,Reports,Critical,Resolved,Test Coverage Miss
Sprint 27,Reports,Low,Resolved,Test Coverage Miss
Sprint 27,Reports,Medium,Closed,Requirement Gap
Sprint 27,Reports,Critical,Resolved,Code Issue
Sprint 27,Reports,Critical,Open,Environment Issue
Sprint 27,Reports,Critical,Closed,Test Coverage Miss
Sprint 27,Reports,Medium,Closed,Test Coverage Miss
Sprint 27,Dashboard,Medium,Resolved,Code Issue
Sprint 27,Dashboard,High,Resolved,Environment Issue
Sprint 27,Dashboard,Critical,Open,Code Issue
Sprint 27,Dashboard,Critical,Open,Test Coverage Miss
Sprint 27,Dashboard,High,Closed,Requirement Gap
Sprint 27,Dashboard,Medium,Resolved,Environment Issue
Sprint 27,Dashboard,High,In Progress,Environment Issue
Sprint 27,Dashboard,Medium,In Progress,Code Issue
Sprint 27,Dashboard,Medium,In Progress,Code Issue
Sprint 27,Dashboard,Low,Resolved,Code Issue
Sprint 28,Authentication,Low,Closed,Environment Issue
Sprint 28,Authentication,Medium,In Progress,Code Issue
Sprint 28,Authentication,Low,Resolved,Code Issue
Sprint 28,Billing,High,Resolved,Requirement Gap
Sprint 28,Billing,Critical,In Progress,Code Issue
Sprint 28,Billing,Medium,In Progress,Requirement Gap
Sprint 28,Billing,Critical,Closed,Requirement Gap
Sprint 28,Billing,High,Resolved,Environment Issue
Sprint 28,Billing,Critical,Closed,Code Issue
Sprint 28,Billing,Critical,In Progress,Environment Issue
Sprint 28,Billing,Medium,In Progress,Requirement Gap
Sprint 28,Billing,High,Closed,Test Coverage Miss
Sprint 28,Payments,Critical,Resolved,Test Coverage Miss
Sprint 28,Payments,Low,Closed,Code Issue
Sprint 28,Payments,High,Resolved,Code Issue
Sprint 28,Payments,Medium,Closed,Test Coverage Miss
Sprint 28,Payments,Critical,Closed,Environment Issue
Sprint 28,Payments,Medium,Closed,Code Issue
Sprint 28,Payments,High,Open,Code Issue
Sprint 28,Payments,High,Closed,Requirement Gap
Sprint 28,Payments,Medium,In Progress,Code Issue
Sprint 28,Payments,High,In Progress,Test Coverage Miss
Sprint 28,Notifications,Critical,Open,Test Coverage Miss
Sprint 28,Notifications,Low,Closed,Environment Issue
Sprint 28,Notifications,Medium,Closed,Requirement Gap
Sprint 28,Notifications,Medium,Resolved,Environment Issue
Sprint 28,Notifications,Medium,Open,Environment Issue
Sprint 28,Notifications,Low,Closed,Code Issue
Sprint 28,Notifications,High,Open,Environment Issue
Sprint 28,Notifications,Critical,Closed,Environment Issue
Sprint 28,Notifications,High,In Progress,Requirement Gap
Sprint 28,Notifications,High,Resolved,Requirement Gap
Sprint 28,Reports,High,In Progress,Requirement Gap
Sprint 28,Reports,Low,In Progress,Environment Issue
Sprint 28,Reports,High,Resolved,Environment Issue
Sprint 28,Reports,Critical,In Progress,Requirement Gap
Sprint 28,Reports,Medium,Closed,Test Coverage Miss
Sprint 28,Reports,High,In Progress,Test Coverage Miss
Sprint 28,Reports,Low,In Progress,Environment Issue
Sprint 28,Reports,High,Open,Environment Issue
Sprint 28,Reports,Critical,Closed,Requirement Gap
Sprint 28,Dashboard,Medium,Open,Environment Issue
Sprint 28,Dashboard,High,In Progress,Environment Issue
Sprint 28,Dashboard,Medium,Open,Requirement Gap
Sprint 28,Dashboard,High,Open,Code Issue
Sprint 28,Dashboard,Critical,In Progress,Code Issue
Sprint 28,Dashboard,High,Open,Test Coverage Miss
Sprint 28,Dashboard,High,Closed,Requirement Gap
Sprint 29,Authentication,Medium,Resolved,Environment Issue
Sprint 29,Authentication,Medium,Resolved,Requirement Gap
Sprint 29,Authentication,Medium,Resolved,Requirement Gap
Sprint 29,Authentication,Low,Resolved,Requirement Gap
Sprint 29,Authentication,High,Resolved,Code Issue
Sprint 29,Authentication,Medium,Open,Code Issue
Sprint 29,Authentication,Critical,In Progress,Code Issue
Sprint 29,Authentication,Medium,Closed,Test Coverage Miss
Sprint 29,Authentication,Medium,Resolved,Requirement Gap
Sprint 29,Billing,Medium,Resolved,Environment Issue
Sprint 29,Billing,Medium,Open,Requirement Gap
Sprint 29,Billing,Critical,Open,Code Issue
Sprint 29,Billing,High,Resolved,Code Issue
Sprint 29,Billing,Critical,In Progress,Test Coverage Miss
